Matrix Size,time to  create matrix,time to convert to sparse matrix (s),unomptimized multiplication 12 times (s),optimized multiplication 12 times (s)
50,0.21188592910766602,0.0030014514923095703,0.0011870861053466797,0.004992961883544922
100,0.0,0.012833595275878906,0.019998550415039062,0.0020003318786621094
150,0.0010001659393310547,0.027690410614013672,0.05935835838317871,0.003000497817993164
200,0.001999378204345703,0.06053495407104492,0.16085481643676758,0.007999658584594727
250,0.004999876022338867,0.13221359252929688,0.33236002922058105,0.012130022048950195
300,0.015094280242919922,0.23441052436828613,0.5018219947814941,0.010998964309692383
350,0.018002033233642578,0.37535929679870605,1.0874919891357422,0.01617717742919922
400,0.02716851234436035,0.7774364948272705,2.2267494201660156,0.03984379768371582
450,0.04803013801574707,0.8355741500854492,1.9598958492279053,0.034047603607177734
500,0.049012184143066406,1.0548911094665527,2.3108932971954346,0.043999433517456055
550,0.08161664009094238,1.3525991439819336,3.530596971511841,0.05703258514404297
600,0.11455202102661133,2.0493245124816895,4.395599603652954,0.058573246002197266
650,0.11665940284729004,2.317790985107422,5.500635862350464,0.07529425621032715
700,0.15064382553100586,2.8428969383239746,7.329538106918335,0.11173558235168457
750,0.2360224723815918,3.5187666416168213,11.156412124633789,0.2726883888244629
800,0.40035295486450195,4.644225597381592,13.128970384597778,0.20175862312316895
850,0.3408832550048828,5.352795362472534,16.853450775146484,0.20177650451660156
900,0.320615291595459,6.56910252571106,24.734364986419678,0.30434370040893555
950,0.3200962543487549,7.679105758666992,39.05220007896423,0.3366372585296631
1000,0.3352091312408447,10.065068006515503,165.53297591209412,0.5347697734832764

